Ticker,Market Cap
AAPL,3.55 trillion
ABT,204.60 billion
AGG,N/A
AMD,223.49 billion
AMGN,150.51 billion
AMSC,1.33 billion
AMZN,2.19 trillion
ANET,128.60 billion
ARKK,N/A
ATI,8.65 billion
AVGO,769.43 billion
BA,112.70 billion
BAC,366.38 billion
BMA,5.84 billion
BMO,69.10 billion
BND,N/A
C,131.92 billion
CAT,196.90 billion
CELH,6.49 billion
CLS,10.12 billion
CM,61.35 billion
CNQ,70.41 billion
COKE,11.78 billion
COST,430.45 billion
CRM,328.08 billion
CRWD,89.30 billion
CVNA,29.94 billion
CVX,289.78 billion
DBA,N/A
DDOG,52.45 billion
DIA,N/A
EA,43.28 billion
EEM,N/A
EFA,N/A
ENB,93.25 billion
FICO,58.01 billion
FIX,17.94 billion
FNGU,N/A
GLD,N/A
GNOM,N/A
GOOGL,2.08 trillion
GS,190.07 billion
HYG,N/A
IBM,211.59 billion
ICLN,N/A
IEF,N/A
INDU,N/A
INOD,1.17 billion
INTC,103.73 billion
INVA,1.20 billion
IWM,N/A
JNJ,372.03 billion
JPM,703.75 billion
KO,278.07 billion
LBTYB,5.03 billion
LLY,709.85 billion
LQD,N/A
MA,485.06 billion
META,1.45 trillion
MMM,72.40 billion
MRK,257.06 billion
MRVL,80.68 billion
MS,211.50 billion
MSFT,3.18 trillion
MSTR,79.47 billion
NDX,N/A
NFLX,373.00 billion
NQX,N/A
NVDA,3.35 trillion
ORCL,527.53 billion
PDBC,N/A
PEP,222.48 billion
PFE,146.04 billion
PG,422.28 billion
PLTR,149.76 billion
PYPL,87.16 billion
QQQ,N/A
RIVN,11.79 billion
RY,176.15 billion
SHOP,145.37 billion
SHY,N/A
SLV,N/A
SNOW,57.41 billion
SPY,N/A
SU,49.94 billion
TAN,N/A
TCEHY,462.57 billion
TD,97.67 billion
TLT,N/A
TMO,196.21 billion
TSLA,1.09 trillion
TSM,953.50 billion
TTD,63.66 billion
UBER,150.68 billion
UNG,N/A
UNH,558.42 billion
USD,N/A
USLM,4.50 billion
USO,N/A
V,603.42 billion
VEA,N/A
VKTX,5.95 billion
VRT,49.45 billion
VST,55.34 billion
VWO,N/A
WEAT,N/A
WLFC,1.41 billion
WMT,733.97 billion
XBB,N/A
XLE,N/A
XLF,N/A
XLK,N/A
XLV,N/A
XLY,N/A
XOM,518.49 billion
ZG,19.64 billion
